"account_holder_title","Rechnungsadresse"
"alipay_crossborder","Alipay Cross-border"
"alipay_crossborder_desc","Alipay Crossborder transactions via Wirecard Payment Processing Gateway"
"amount","Amount"
"article-number","Artikel Nummer"
"back_button","Back"
"bank_label","Bank"
"basket_title","Warenkorb"
"bic","BIC:"
"bic_input","BIC"
"birthdate_input","Geburtsdatum"
"button_confirm","Bestellung bestätigen"
"cancel","Cancel"
"canceled_payment_process","Der Bezahlprozess wurde abgebrochen."
"capture_invoice_comment","Captured amount of %1 online. Transaction ID: %2."
"city","Stadt"
"config_additional_info","Zusätzliche Informationen mitsenden"
"config_additional_info_desc","Zusätzliche Informationen werden für Betrugsschutz gesendet. In diesen Daten sind  Rechnungs- / Lieferadresse, Warenkorb und Deskriptor inkludiert."
"config_allowed_currencies","Erlaubte Währungen"
"config_allowed_currencies_desc","Garantierter Kauf auf Rechnung wird nur angezeigt, wenn eine der ausgewählten Währungen genutzt wird."
"config_allow_changed_shipping","Geänderte Lieferadresse zulassen"
"config_allow_changed_shipping_desc","Wenn diese Option deaktiviert ist und sich die Lieferadresse des Kunden zwischen Transaktionen ändert, müssen sie ihre Kreditkarteninformationen erneut eingeben."
"config_base_url","Base URL"
"config_base_url_desc","Wirecard Base URL (z.B. https://api.wirecard.com)."
"config_basket_max","Maximaler Betrag"
"config_basket_max_desc","Garantierter Kauf auf Rechnung wird nur angezeigt, wenn der Bestellbetrag niedriger ist als der hier definierte Wert (in Standardwährung)."
"config_basket_min","Minimaler Betrag"
"config_basket_min_desc","Garantierter Kauf auf Rechnung wird nur angezeigt, wenn der Bestellbetrag höher ist als der hier definierte Wert (in Standardwährung)."
"config_billing_countries","Erlaubte Rechnungsempfängerländer"
"config_billing_countries_desc","Garantierter Kauf auf Rechnung wird dem Endkunden beim Checkout nur angezeigt, wenn die Lieferadresse einem der hier gewählten Länder entspricht. Auswahl mehrerer Länder mit STRG-click. Voreingestelle Auswahl: Österreich und Deutschland."
"config_billing_shipping","Rechnungsadresse und Versandadresse müssen übereinstimmen"
"config_billing_shipping_desc","Bei Aktivierung wird Garantierter Kauf auf Rechnung nur im Zahlungsprozess angezeigt, wenn Rechnungs- und Lieferadresse übereinstimmen."
"config_creditor_city","Creditor Stadt"
"config_creditor_city_desc","Für das SEPA-Lastschrift-Mandat wird die Stadt des Zahlungsempfängers (Creditor) benötigt."
"config_creditor_id","Creditor ID"
"config_creditor_id_desc","Die Creditor ID wird benötigt, um das SEPA-Lastschrift-Mandat zu erstellen. Die Creditor ID muss beim zuständigen Bankinstitut angefordert werden."
"config_creditor_name","Creditor Name"
"config_creditor_name_desc","Für das SEPA-Lastschrift-Mandat wird der Name des Zahlungsempfängers (Creditor) benötigt."
"config_delete_cancel_order","Abgebrochene Bestellung löschen"
"config_delete_cancel_order_desc","Bestellung nach Abbruch des Zahlungsprozesses automatisch löschen."
"config_delete_failure_order","Fehlgeschlagene Bestellung löschen"
"config_delete_failure_order_desc","Bestellung nach fehlgeschlagenem Zahlungsprozess automatisch löschen."
"config_descriptor","Deskriptor"
"config_descriptor_desc","Aktivieren Sie den Deskriptor, um bei jeder Transaktion eine Referenz zur jeweiligen Bestellung mitzuschicken. Diese Referenz wird im Buchungstext angezeigt, der dem Endkunden vom Finanzdienstleister übermittelt wird."
"config_details_on_invoice","Zahlungsdetails Auf Rechnung"
"config_details_on_invoice_desc","Wenn aktiviert werden die Zahlungdetails für den Kunden automatisch auf der Rechnung hinzugefügt."
"config_email","E-Mail Adresse"
"config_enable_bic","BIC aktivieren"
"config_enable_bic_desc","Wenn BIC aktiviert ist, muss dieser im Bezahlprozess eingegeben werden."
"config_http_password","HTTP Passwort"
"config_http_password_desc","Wirecard HTTP Passwort laut Vertrag mit Wirecard."
"config_http_user","HTTP Benutzer"
"config_http_user_desc","Wirecard HTTP Benutzer laut Vertrag mit Wirecard."
"config_limit_desc","Betrag in Standard Shop Währung."
"config_logo_variant","Logo-Variante"
"config_logo_variant_desc","Zeige dem Kunden die Standard-Logo-Variante oder die deskriptive Logo-Variante an."
"config_mandate_text","Zustatztext"
"config_mandate_text_desc","Dieser Text wird am Ende des ersten Paragraphen des SEPA-Lastschrift-Mandats angezeigt."
"config_merchant_account_id","Händler-Konto-ID"
"config_merchant_account_id_cc_desc","Eindeutige Händler-Konto-ID (Merchant Account ID) laut Vertrag mit Wirecard. Kann auf ""Null"" gesetzt werden, um einen 3-D-Prozess zu erzwingen."
"config_merchant_account_id_desc","Eindeutige Händler-Konto-ID laut Vertrag mit Wirecard."
"config_merchant_public","Public Key"
"config_merchant_secret","Geheimschlüssel"
"config_merchant_secret_cc_desc","Der Secret Key wird benötigt, um die Digitale Signatur für Zahlungen zu berechnen. Kann auf ""Null"" gesetzt werden, um einen 3-D-Prozess zu erzwingen."
"config_merchant_secret_desc","Der Geheimschlüssel wird benötigt, um die Digitale Signatur für Zahlungen zu berechnen."
"config_message","Ihre Nachricht"
"config_payment_action","Zahlungsaktion"
"config_payment_action_desc","Wählen Sie \""Purchase\"", um automatisch eine Buchung durchzuführen, oder \""Authorization\"", um eine manuelle Buchung zu ermöglichen."
"config_payment_type","Zahlungsart"
"config_payment_type_desc",
"config_shipping_countries","Erlaubte Lieferländer"
"config_shipping_countries_desc","Garantierter Kauf auf Rechnung wird dem Endkunden beim Checkout nur angezeigt, wenn die Rechnungsadresse einem der hier gewählten Länder entspricht. Auswahl mehrerer Länder mit STRG-click. Voreingestelle Auswahl: Österreich und Deutschland."
"config_shopping_basket","Warenkorb"
"config_shopping_basket_desc","Das Zahlungsmittel unterstützt die Anzeige des Warenkorbs während des Checkouts. Um dieses Feature zu verwenden, Shopping Basket aktivieren."
"config_sort_order","Reihenfolge"
"config_sort_order_desc","Reihenfolge der angezeigten Zahlungsmittel auf der Bezahlseite."
"config_ssl_max_limit","Non 3-D Secure Maximal Limit"
"config_status","Status"
"config_status_desc","$_['config_status_desc_alipay_crossborder']"
"config_status_desc_alipay_crossborder","Zahlungsmittel Alipay Cross-border aktivieren."
"config_status_desc_creditcard","Zahlungsmittel Kreditkarte aktivieren."
"config_status_desc_eps",
"config_status_desc_ideal","Zahlungsmittel iDEAL aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_maestro","Zahlungsmittel Maestro SecureCode aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_masterpass","Zahlungsmittel Masterpass aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_paypal","Zahlungsmittel PayPal aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_pia","Zahlungsmittel Vorauskasse aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_poi","Zahlungsmittel Kauf auf Rechnung aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_poi_pia","Zahlungsmittel Kauf auf Rechnung / Vorauskasse aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_ratepayinvoice","Zahlungsmittel Garantierter Kauf auf Rechnung aktivieren."
"config_status_desc_sepact","Zahlungsmittel SEPA Credit Transfer aktivieren"
"config_status_desc_sepadd","Zahlungsmittel SEPA-Lastschrift aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_sofortbanking","Zahlungsmittel Sofort. aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_upi","Zahlungsmittel UnionPay International aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_zapp","Zahlungsmittel Pay by Bank app aktivieren und dem Endkunden beim Checkout anbieten."
"config_three_d_merchant_account_id","3-D Secure Händler-Konto-ID"
"config_three_d_merchant_account_id_desc","Geben Sie Ihren 3D Händler Bezeichner an."
"config_three_d_merchant_secret","3-D Secure Geheimschlüssel"
"config_three_d_merchant_secret_desc","Der Geheimschlüssel wird benötigt um die Digitale Signatur für diese 3D Zahlung zu berechnen."
"config_three_d_min_limit","3-D Secure Minimum Limit"
"config_title","Titel"
"config_title_desc","Name des Zahlungsmittels wie auf der Bezahlseite angezeigt."
"config_vault","One-Click Checkout"
"config_vault_desc","Kreditkarten können gespeichert und später wieder verwendet werden."
"config_merchant_returnstring", "Merchant Return String"
"config_merchant_returnstring_desc", "Merchant Return String, um den Kunden von der mobilen App auf die Händlerseite umzuleiten."
"confirm_uninstall","Soll das Modul wirklich deinstalliert werden?"
"copy_xml_text","XML Kopieren"
"country","Land"
"credit","Kreditieren"
"creditcard","Credit Card"
"creditcard_desc","Credit Card transactions via Wirecard Payment Processing Gateway"
"creditor","Zahlungsempfänger"
"creditor_id_input","Creditor ID:"
"creditor_mandate_id","Mandate ID"
"credit_card_form_loading_error","Beim Laden des Kreditkartenformulares ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut."
"credit_card_form_submitting_error","Beim Senden der Kreditkartendaten ist ein Fehler aufgetreten."
"credit_card_title","Kreditkarte"
"customerId","Kunden ID"
"date-of-birth","Geburtsdatum"
"debtor","Zahlungspflichtiger"
"debtor_acc_owner","Kontoinhaber:"
"default_currency","Standard Währung"
"description","Beschreibung"
"descriptor","Descriptor"
"email","E-Mail"
"enable_heading_title_alipay_crossborder","Wirecard Alipay Cross-border aktivieren"
